location,San Francisco,San Francisco,San Francisco,San Francisco
lat,37.99986,37.99986,37.99986,37.99986
lon,-122.34375,-122.34375,-122.34375,-122.34375
asl,60.343,60.343,60.343,60.343
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,San Francisco Temperature [2 m elevation corrected],San Francisco Precipitation Total,San Francisco Wind Speed [10 m],San Francisco Wind Direction [10 m]
20200311T0000,11.938226,0.0,4.1698194,243.43495
20200311T0100,11.318226,0.0,4.212154,235.30484
20200311T0200,10.768226,0.0,3.9603205,227.72632
20200311T0300,10.338226,0.0,3.7862556,219.28941
20200311T0400,9.988226,0.0,3.4734309,212.47119
20200311T0500,11.568226,0.0,1.7057923,128.6598
20200311T0600,10.768226,0.0,1.3583788,101.30993
20200311T0700,10.738226,0.0,0.84243083,71.565056
20200311T0800,10.868226,0.0,1.191377,26.565033
20200311T0900,13.488226,0.0,0.2664,360.0
20200311T1000,16.178226,0.0,1.8648,270.0
20200311T1100,17.738228,0.0,3.7296,270.0
20200311T1200,18.898228,0.0,5.068606,266.9872
20200311T1300,19.738228,0.0,6.791894,258.69006
20200311T1400,20.198227,0.0,9.112282,254.74487
20200311T1500,20.198227,0.0,11.380612,253.68616
20200311T1600,19.708227,0.0,12.8093815,253.07248
20200311T1700,18.798227,0.0,12.974528,250.82098
20200311T1800,17.208227,0.0,12.038215,245.1363
20200311T1900,14.848227,0.0,8.365129,232.76517
20200311T2000,12.878226,0.0,5.4919763,219.09386
20200311T2100,12.028226,0.0,4.9121733,220.6013
20200311T2200,11.178226,0.0,4.520958,225.0
20200311T2300,10.348227,0.0,3.996,233.1301
20200312T0000,9.608226,0.0,3.700947,239.74356
20200312T0100,9.538226,0.0,3.4632,247.38014
20200312T0200,9.708226,0.0,3.118132,250.0169
20200312T0300,9.358226,0.0,2.5272923,251.56506
20200312T0400,8.998226,0.0,2.028842,246.8014
20200312T0500,10.008226,0.0,2.8318708,311.1859
20200312T0600,9.718226,0.0,2.6372256,315.0
20200312T0700,9.418226,0.0,2.0806506,320.19446
20200312T0800,9.558227,0.0,1.8837326,315.0
20200312T0900,10.928226,0.0,1.332,306.8699
20200312T1000,14.188226,0.0,1.3583788,281.30994
20200312T1100,17.318228,0.0,2.1477854,277.125
20200312T1200,19.618227,0.0,2.9784427,296.56506
20200312T1300,21.048227,0.0,3.1067312,300.96378
20200312T1400,22.038227,0.0,3.8142672,294.77515
20200312T1500,22.538227,0.0,4.802594,289.44003
20200312T1600,22.608227,0.0,6.0102577,282.80426
